topic_id,cluster_id,topic_vocab_entropy,topic_noise_ratio,topic_snr,topic_vocab_size,topic_avg_overlap,topic_max_overlap,coherence,relevance,coverage,quality_score,verification_passed
2,0,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,4,3,3.6666666666666665,True
2,1,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,4,3,3.6666666666666665,True
2,2,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,4,3,3.6666666666666665,True
2,3,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,4,4,4.0,True
2,4,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,4,3,3.6666666666666665,True
2,5,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,5,3,4.0,True
2,6,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,5,4,4.333333333333333,True
2,7,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,5,4,4.333333333333333,True
2,8,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,3,4,3.6666666666666665,True
2,9,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,5,3,4.0,True
2,10,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,5,3,4.0,True
2,11,4.906890595608519,0.5333333333333333,0.875,30,0.07619885318368814,0.15384615384615385,4,5,4,4.333333333333333,True
5,0,4.906890595608519,0.6666666666666666,0.5,30,0.05471857318675355,0.1320754716981132,4,5,3,4.0,True
5,1,4.906890595608519,0.6666666666666666,0.5,30,0.05471857318675355,0.1320754716981132,4,3,4,3.6666666666666665,True
4,0,4.906890595608519,0.6,0.6666666666666666,30,0.06631023498297409,0.1320754716981132,4,3,4,3.6666666666666665,True
4,1,4.906890595608519,0.6,0.6666666666666666,30,0.06631023498297409,0.1320754716981132,4,5,3,4.0,True
3,0,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,5,4,4.333333333333333,True
3,1,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,5,4,4.333333333333333,True
3,2,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,4,4,4.0,True
3,3,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,4,4,4.0,True
3,4,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,4,4,4.0,True
3,5,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,4,3,3.6666666666666665,True
3,6,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,4,4,4.0,True
3,7,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,4,3,3.6666666666666665,True
3,8,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,4,4,4.0,True
3,9,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,4,3,3.6666666666666665,True
3,10,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,5,4,4.333333333333333,False
3,11,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,5,4,4.333333333333333,False
3,12,4.906890595608519,0.6,0.6666666666666666,30,0.07187836362065038,0.09090909090909091,4,5,4,4.333333333333333,True
6,0,4.906890595608519,0.6666666666666666,0.5,30,0.04590720833915027,0.15384615384615385,4,4,3,3.6666666666666665,True
6,1,4.906890595608519,0.6666666666666666,0.5,30,0.04590720833915027,0.15384615384615385,4,4,3,3.6666666666666665,False
6,2,4.906890595608519,0.6666666666666666,0.5,30,0.04590720833915027,0.15384615384615385,4,5,4,4.333333333333333,True
6,3,4.906890595608519,0.6666666666666666,0.5,30,0.04590720833915027,0.15384615384615385,4,5,4,4.333333333333333,True
6,4,4.906890595608519,0.6666666666666666,0.5,30,0.04590720833915027,0.15384615384615385,4,4,3,3.6666666666666665,True
6,5,4.906890595608519,0.6666666666666666,0.5,30,0.04590720833915027,0.15384615384615385,4,4,3,3.6666666666666665,True
6,6,4.906890595608519,0.6666666666666666,0.5,30,0.04590720833915027,0.15384615384615385,4,5,3,4.0,True
6,7,4.906890595608519,0.6666666666666666,0.5,30,0.04590720833915027,0.15384615384615385,4,4,3,3.6666666666666665,True
1,0,4.906890595608519,0.8333333333333334,0.2,30,0.028838167891968376,0.05263157894736842,4,3,4,3.6666666666666665,True
1,1,4.906890595608519,0.8333333333333334,0.2,30,0.028838167891968376,0.05263157894736842,4,4,3,3.6666666666666665,True
1,2,4.906890595608519,0.8333333333333334,0.2,30,0.028838167891968376,0.05263157894736842,4,3,4,3.6666666666666665,True
1,3,4.906890595608519,0.8333333333333334,0.2,30,0.028838167891968376,0.05263157894736842,4,4,4,4.0,False
1,4,4.906890595608519,0.8333333333333334,0.2,30,0.028838167891968376,0.05263157894736842,4,4,3,3.6666666666666665,True
0,0,4.906890595608519,0.8,0.25,30,0.023301605855667807,0.07142857142857142,4,3,4,3.6666666666666665,True
0,1,4.906890595608519,0.8,0.25,30,0.023301605855667807,0.07142857142857142,4,4,3,3.6666666666666665,True
